TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-02 21:29:18.898587,2026-01-02 21:29:17.248163,2026-01-02 21:29:17.896209,VAH,"1,2",NO,1.027,1.085,,2026-01-02 21:29:18.274936,2026-01-02 21:29:18.332896,
2026-01-02 21:29:28.838452,2026-01-02 21:29:27.185132,2026-01-02 21:29:27.833454,VAH,"1,2,1",NO,0.875,1.045,1.080,2026-01-02 21:29:28.060582,2026-01-02 21:29:28.230506,2026-01-02 21:29:28.265331
2026-01-02 21:29:36.474739,2026-01-02 21:29:34.958983,2026-01-02 21:29:35.474152,V,1,YES,0.900,,,2026-01-02 21:29:35.859161,,
