TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2025-12-31 17:40:37.385785,2025-12-31 17:40:35.367336,2025-12-31 17:40:35.878574,V,,NO,,,,,,
2025-12-31 17:40:45.320702,2025-12-31 17:40:43.193271,2025-12-31 17:40:43.818823,A,,NO,,,,,,
2025-12-31 17:40:53.728123,2025-12-31 17:40:51.574666,2025-12-31 17:40:52.225447,VAH,,NO,,,,,,
2025-12-31 17:41:00.321801,2025-12-31 17:40:58.312014,2025-12-31 17:40:58.817850,H,3,YES,1.846,,,2025-12-31 17:41:00.158487,,
2025-12-31 17:41:07.145899,2025-12-31 17:41:04.872125,2025-12-31 17:41:05.528918,AH,,NO,,,,,,
2025-12-31 17:41:15.738890,2025-12-31 17:41:13.720269,2025-12-31 17:41:14.232713,V,1,YES,0.849,,,2025-12-31 17:41:14.568852,,
2025-12-31 17:41:22.837981,2025-12-31 17:41:20.814021,2025-12-31 17:41:21.333184,VH,"1,3",YES,1.075,1.079,,2025-12-31 17:41:21.889038,2025-12-31 17:41:21.892605,
