TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 13:56:39.537974,2026-01-15 13:56:37.875504,2026-01-15 13:56:38.532232,VH,"1,3",YES,0.696,1.198,,2026-01-15 13:56:38.571924,2026-01-15 13:56:39.073906,
2026-01-15 13:56:50.000065,2026-01-15 13:56:48.338827,2026-01-15 13:56:48.999896,H,3,YES,0.910,,,2026-01-15 13:56:49.249083,,
2026-01-15 13:57:00.992235,2026-01-15 13:56:59.331484,2026-01-15 13:56:59.991636,H,3,YES,0.602,,,2026-01-15 13:56:59.933846,,
2026-01-15 13:57:10.120894,2026-01-15 13:57:08.603397,2026-01-15 13:57:09.120324,V,1,YES,0.580,,,2026-01-15 13:57:09.183593,,
2026-01-15 13:57:19.035034,2026-01-15 13:57:17.230265,2026-01-15 13:57:18.034230,AH,3,NO,0.727,,,2026-01-15 13:57:17.957509,,
2026-01-15 13:57:26.440676,2026-01-15 13:57:24.636643,2026-01-15 13:57:25.437189,AH,"2,3",YES,0.877,0.880,,2026-01-15 13:57:25.513786,2026-01-15 13:57:25.516942,
2026-01-15 13:57:34.748177,2026-01-15 13:57:32.928616,2026-01-15 13:57:33.747402,VAH,1,NO,0.516,,,2026-01-15 13:57:33.444929,,
2026-01-15 13:57:43.018441,2026-01-15 13:57:41.359052,2026-01-15 13:57:42.017902,H,3,YES,0.605,,,2026-01-15 13:57:41.964503,,
2026-01-15 13:57:51.978212,2026-01-15 13:57:50.322135,2026-01-15 13:57:50.977708,A,3,NO,0.928,,,2026-01-15 13:57:51.249742,,
2026-01-15 13:57:59.906417,2026-01-15 13:57:58.248363,2026-01-15 13:57:58.905715,VA,1,NO,0.686,,,2026-01-15 13:57:58.934380,,
2026-01-15 13:58:07.867772,2026-01-15 13:58:06.348292,2026-01-15 13:58:06.867912,V,1,YES,0.600,,,2026-01-15 13:58:06.947921,,
