TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,SelectedCues,FeltCorrectly,ReactionTime_seconds
2026-01-15 18:42:03.420005,2026-01-15 18:41:58.156155,2026-01-15 18:41:58.815226,A,A,YES,1.365
2026-01-15 18:42:13.973379,2026-01-15 18:42:09.653999,2026-01-15 18:42:10.264643,H,H,YES,0.733
2026-01-15 18:42:22.372545,2026-01-15 18:42:19.510718,2026-01-15 18:42:20.029896,V,A,NO,0.525
2026-01-15 18:42:34.729677,2026-01-15 18:42:30.807254,2026-01-15 18:42:31.413182,H,H,YES,0.716
2026-01-15 18:42:45.850425,2026-01-15 18:42:42.379820,2026-01-15 18:42:43.142498,AH,H,NO,0.799
2026-01-15 18:42:55.320481,2026-01-15 18:42:52.681514,2026-01-15 18:42:53.197079,V,A,NO,0.669
2026-01-15 18:43:05.873139,2026-01-15 18:43:02.418739,2026-01-15 18:43:03.094726,VA,V,NO,0.997
2026-01-15 18:43:17.350010,2026-01-15 18:43:13.058319,2026-01-15 18:43:13.823732,VAH,HV,NO,0.887
2026-01-15 18:43:30.425070,2026-01-15 18:43:25.368689,2026-01-15 18:43:26.120574,VAH,HV,NO,0.620
2026-01-15 18:43:44.346844,2026-01-15 18:43:39.350563,2026-01-15 18:43:40.115776,VAH,HV,NO,0.789
2026-01-15 18:43:55.149440,2026-01-15 18:43:51.920964,2026-01-15 18:43:52.582442,A,A,YES,1.401
2026-01-15 18:44:03.668196,2026-01-15 18:43:59.480447,2026-01-15 18:44:00.252866,VAH,HV,NO,0.664
2026-01-15 18:44:13.231619,2026-01-15 18:44:10.255863,2026-01-15 18:44:10.889511,A,A,YES,0.955
2026-01-15 18:44:26.413591,2026-01-15 18:44:20.026527,2026-01-15 18:44:20.816134,VAH,HV,NO,0.661
2026-01-15 18:44:35.515690,2026-01-15 18:44:32.693000,2026-01-15 18:44:33.212860,V,V,YES,0.980
2026-01-15 18:44:48.688237,2026-01-15 18:44:45.014205,2026-01-15 18:44:45.619781,VH,HV,YES,0.480
2026-01-15 18:44:59.047125,2026-01-15 18:44:56.652993,2026-01-15 18:44:57.263343,H,H,YES,0.665
2026-01-15 18:45:08.750120,2026-01-15 18:45:05.497850,2026-01-15 18:45:06.279348,VAH,AHV,YES,0.718
2026-01-15 18:45:18.515627,2026-01-15 18:45:15.378971,2026-01-15 18:45:16.043692,VA,AV,YES,0.823
2026-01-15 18:45:28.276748,2026-01-15 18:45:24.921528,2026-01-15 18:45:25.693211,AH,AH,YES,0.595
2026-01-15 18:45:40.341651,2026-01-15 18:45:36.548154,2026-01-15 18:45:37.152572,H,H,YES,0.676
2026-01-15 18:45:52.808359,2026-01-15 18:45:47.173751,2026-01-15 18:45:47.953189,VAH,HV,NO,0.624
