TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 18:25:40.850614,2026-01-15 18:25:39.035110,2026-01-15 18:25:39.849798,VAH,"2,1,3",YES,0.879,0.880,0.880,2026-01-15 18:25:39.914581,2026-01-15 18:25:39.914692,2026-01-15 18:25:39.914779
2026-01-15 18:25:47.225316,2026-01-15 18:25:45.563491,2026-01-15 18:25:46.224551,VA,"1,2",YES,0.957,0.959,,2026-01-15 18:25:46.520727,2026-01-15 18:25:46.522931,
2026-01-15 18:25:55.456507,2026-01-15 18:25:53.796149,2026-01-15 18:25:54.453366,H,3,YES,0.446,,,2026-01-15 18:25:54.242138,,
2026-01-15 18:26:03.900815,2026-01-15 18:26:02.245972,2026-01-15 18:26:02.902454,H,3,YES,0.790,,,2026-01-15 18:26:03.036294,,
2026-01-15 18:26:12.589508,2026-01-15 18:26:10.935009,2026-01-15 18:26:11.592558,VH,"1,3",YES,0.772,0.789,,2026-01-15 18:26:11.707130,2026-01-15 18:26:11.723958,
2026-01-15 18:26:20.601099,2026-01-15 18:26:18.789504,2026-01-15 18:26:19.600294,AH,"2,3",YES,0.936,0.938,,2026-01-15 18:26:19.725826,2026-01-15 18:26:19.727388,
2026-01-15 18:26:28.055490,2026-01-15 18:26:26.242242,2026-01-15 18:26:27.054768,AH,"1,3",NO,0.846,0.846,,2026-01-15 18:26:27.087851,2026-01-15 18:26:27.088069,
2026-01-15 18:26:38.401200,2026-01-15 18:26:36.762048,2026-01-15 18:26:37.400541,A,2,YES,0.868,,,2026-01-15 18:26:37.630408,,
2026-01-15 18:26:46.463097,2026-01-15 18:26:44.804822,2026-01-15 18:26:45.462461,VH,"1,2,3",NO,0.788,0.790,1.154,2026-01-15 18:26:45.592465,2026-01-15 18:26:45.594425,2026-01-15 18:26:45.958649
2026-01-15 18:26:55.304619,2026-01-15 18:26:53.646862,2026-01-15 18:26:54.306316,H,3,YES,0.757,,,2026-01-15 18:26:54.403792,,
2026-01-15 18:27:05.836144,2026-01-15 18:27:04.025825,2026-01-15 18:27:04.835389,VAH,"1,3",NO,1.022,1.022,,2026-01-15 18:27:05.047718,2026-01-15 18:27:05.047957,
2026-01-15 18:27:14.122046,2026-01-15 18:27:12.463427,2026-01-15 18:27:13.119043,H,3,YES,0.592,,,2026-01-15 18:27:13.055691,,
2026-01-15 18:27:24.179725,2026-01-15 18:27:22.522800,2026-01-15 18:27:23.179154,H,3,YES,0.848,,,2026-01-15 18:27:23.371037,,
2026-01-15 18:27:34.408507,2026-01-15 18:27:32.752468,2026-01-15 18:27:33.409307,VH,"1,3",YES,0.849,0.849,,2026-01-15 18:27:33.601385,2026-01-15 18:27:33.601516,
2026-01-15 18:27:44.130297,2026-01-15 18:27:42.303705,2026-01-15 18:27:43.129319,VAH,"1,3,2",YES,0.989,0.992,0.993,2026-01-15 18:27:43.292702,2026-01-15 18:27:43.295386,2026-01-15 18:27:43.296745
2026-01-15 18:27:51.230884,2026-01-15 18:27:49.581575,2026-01-15 18:27:50.230358,A,2,YES,0.879,,,2026-01-15 18:27:50.460267,,
2026-01-15 18:28:00.407379,2026-01-15 18:27:58.594676,2026-01-15 18:27:59.406651,VAH,"3,1,2",YES,0.795,0.796,0.807,2026-01-15 18:27:59.389442,2026-01-15 18:27:59.390536,2026-01-15 18:27:59.401547
2026-01-15 18:28:10.706756,2026-01-15 18:28:08.888902,2026-01-15 18:28:09.706050,VAH,"3,1,2",YES,0.808,0.809,0.810,2026-01-15 18:28:09.696758,2026-01-15 18:28:09.697813,2026-01-15 18:28:09.699242
2026-01-15 18:28:17.116448,2026-01-15 18:28:15.455886,2026-01-15 18:28:16.115580,A,2,YES,0.980,,,2026-01-15 18:28:16.435580,,
2026-01-15 18:28:28.313184,2026-01-15 18:28:26.654359,2026-01-15 18:28:27.309886,H,3,YES,0.669,,,2026-01-15 18:28:27.323270,,
2026-01-15 18:28:36.147338,2026-01-15 18:28:34.630022,2026-01-15 18:28:35.147248,V,1,YES,0.738,,,2026-01-15 18:28:35.368293,,
2026-01-15 18:28:44.006112,2026-01-15 18:28:42.343998,2026-01-15 18:28:43.005469,A,2,YES,0.886,,,2026-01-15 18:28:43.230127,,
2026-01-15 18:28:51.618827,2026-01-15 18:28:49.959405,2026-01-15 18:28:50.615202,VH,"3,1",YES,0.773,0.777,,2026-01-15 18:28:50.732528,2026-01-15 18:28:50.736793,
2026-01-15 18:29:01.773225,2026-01-15 18:29:00.113731,2026-01-15 18:29:00.773911,VH,"1,3",YES,0.896,0.897,,2026-01-15 18:29:01.010184,2026-01-15 18:29:01.010409,
2026-01-15 18:29:10.487256,2026-01-15 18:29:08.679377,2026-01-15 18:29:09.486457,VAH,"1,2,3",YES,0.794,0.795,0.795,2026-01-15 18:29:09.473750,2026-01-15 18:29:09.473888,2026-01-15 18:29:09.474669
2026-01-15 18:29:20.252549,2026-01-15 18:29:18.437973,2026-01-15 18:29:19.251739,VAH,"1,2,3",YES,0.750,0.752,0.753,2026-01-15 18:29:19.187894,2026-01-15 18:29:19.189477,2026-01-15 18:29:19.191158
