TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,SelectedCues,FeltCorrectly,ReactionTime_seconds
2026-01-15 13:22:47.878356,2026-01-15 13:22:45.165566,2026-01-15 13:22:45.842561,A,A,YES,0.681
2026-01-15 13:23:05.523096,2026-01-15 13:22:54.780622,2026-01-15 13:22:55.298474,V,V,YES,0.873
2026-01-15 13:23:14.853916,2026-01-15 13:23:11.155359,2026-01-15 13:23:11.672889,V,V,YES,0.498
2026-01-15 13:23:25.605202,2026-01-15 13:23:22.824904,2026-01-15 13:23:23.435711,VH,HV,YES,0.478
2026-01-15 13:23:35.022669,2026-01-15 13:23:32.608053,2026-01-15 13:23:33.367354,AH,H,NO,0.588
2026-01-15 13:23:42.355107,2026-01-15 13:23:39.325403,2026-01-15 13:23:40.095085,VAH,AHV,YES,0.515
2026-01-15 13:23:51.000157,2026-01-15 13:23:48.746390,2026-01-15 13:23:49.262991,V,V,YES,0.412
2026-01-15 13:23:59.809648,2026-01-15 13:23:57.132385,2026-01-15 13:23:57.889523,AH,AH,YES,0.465
2026-01-15 13:24:08.022357,2026-01-15 13:24:05.720814,2026-01-15 13:24:06.384760,A,A,YES,0.559
2026-01-15 13:24:17.198649,2026-01-15 13:24:14.487534,2026-01-15 13:24:15.142189,VA,AV,YES,0.495
2026-01-15 13:24:28.036636,2026-01-15 13:24:25.296296,2026-01-15 13:24:26.066898,VAH,AHV,YES,0.377
2026-01-15 13:24:36.188662,2026-01-15 13:24:33.883719,2026-01-15 13:24:34.542624,A,A,YES,0.533
2026-01-15 13:24:46.473808,2026-01-15 13:24:44.057939,2026-01-15 13:24:44.666527,VH,HV,YES,0.290
2026-01-15 13:24:57.228272,2026-01-15 13:24:54.567539,2026-01-15 13:24:55.232094,VA,AV,YES,0.339
2026-01-15 13:25:08.330984,2026-01-15 13:25:05.792340,2026-01-15 13:25:06.452582,VA,AV,YES,0.396
2026-01-15 13:25:18.963507,2026-01-15 13:25:16.997049,2026-01-15 13:25:17.514554,V,V,YES,0.359
2026-01-15 13:25:29.140880,2026-01-15 13:25:26.723195,2026-01-15 13:25:27.329011,VH,HV,YES,0.366
2026-01-15 13:25:38.203726,2026-01-15 13:25:35.524003,2026-01-15 13:25:36.291418,AH,AH,YES,0.547
2026-01-15 13:25:47.003230,2026-01-15 13:25:44.477833,2026-01-15 13:25:45.237252,AH,AH,YES,0.524
