TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 13:28:04.934011,2026-01-15 13:28:03.271475,2026-01-15 13:28:03.931753,VA,"1,2",YES,0.704,1.165,,2026-01-15 13:28:03.975069,2026-01-15 13:28:04.436707,
2026-01-15 13:28:14.727955,2026-01-15 13:28:12.917720,2026-01-15 13:28:13.727155,AH,"3,2",YES,0.948,1.224,,2026-01-15 13:28:13.865605,2026-01-15 13:28:14.142026,
2026-01-15 13:28:22.852348,2026-01-15 13:28:21.194245,2026-01-15 13:28:21.854239,VH,"1,3",YES,1.122,1.291,,2026-01-15 13:28:22.316521,2026-01-15 13:28:22.484787,
2026-01-15 13:28:33.230043,2026-01-15 13:28:31.415443,2026-01-15 13:28:32.229238,AH,"2,3",YES,1.231,1.284,,2026-01-15 13:28:32.646601,2026-01-15 13:28:32.699617,
2026-01-15 13:28:43.569368,2026-01-15 13:28:41.762412,2026-01-15 13:28:42.568402,VAH,"1,2,3",YES,1.139,1.248,1.315,2026-01-15 13:28:42.901300,2026-01-15 13:28:43.010046,2026-01-15 13:28:43.077646
2026-01-15 13:28:51.474831,2026-01-15 13:28:49.958762,2026-01-15 13:28:50.476509,V,1,YES,0.887,,,2026-01-15 13:28:50.845930,,
2026-01-15 13:29:00.038311,2026-01-15 13:28:58.521872,2026-01-15 13:28:59.038712,V,1,YES,0.602,,,2026-01-15 13:28:59.124264,,
2026-01-15 13:29:08.147430,2026-01-15 13:29:06.632262,2026-01-15 13:29:07.150680,V,1,YES,0.603,,,2026-01-15 13:29:07.235682,,
2026-01-15 13:29:16.928242,2026-01-15 13:29:15.121230,2026-01-15 13:29:15.927527,AH,"2,3",YES,0.955,1.051,,2026-01-15 13:29:16.075904,2026-01-15 13:29:16.172508,
2026-01-15 13:29:23.247562,2026-01-15 13:29:21.729813,2026-01-15 13:29:22.243593,V,1,YES,0.572,,,2026-01-15 13:29:22.301991,,
2026-01-15 13:29:33.231214,2026-01-15 13:29:31.713263,2026-01-15 13:29:32.231325,V,1,YES,0.544,,,2026-01-15 13:29:32.257132,,
2026-01-15 13:29:41.972948,2026-01-15 13:29:40.165685,2026-01-15 13:29:40.972117,VAH,"1,3",NO,0.618,0.864,,2026-01-15 13:29:40.783964,2026-01-15 13:29:41.029472,
2026-01-15 13:29:50.656432,2026-01-15 13:29:48.994886,2026-01-15 13:29:49.655692,VA,"1,2",YES,0.547,0.814,,2026-01-15 13:29:49.541811,2026-01-15 13:29:49.808489,
2026-01-15 13:29:57.736808,2026-01-15 13:29:55.913860,2026-01-15 13:29:56.735826,VAH,"1,3",NO,0.761,0.960,,2026-01-15 13:29:56.674655,2026-01-15 13:29:56.874331,
2026-01-15 13:30:04.035138,2026-01-15 13:30:02.374089,2026-01-15 13:30:03.034490,VA,"1,2",YES,0.982,1.288,,2026-01-15 13:30:03.355769,2026-01-15 13:30:03.662463,
2026-01-15 13:30:15.015942,2026-01-15 13:30:13.358676,2026-01-15 13:30:14.015258,VA,"1,2",YES,0.787,0.904,,2026-01-15 13:30:14.145663,2026-01-15 13:30:14.262829,
2026-01-15 13:30:21.581543,2026-01-15 13:30:19.921674,2026-01-15 13:30:20.581487,VH,"1,3",YES,0.734,0.876,,2026-01-15 13:30:20.656055,2026-01-15 13:30:20.798079,
2026-01-15 13:30:30.861919,2026-01-15 13:30:29.345047,2026-01-15 13:30:29.859630,V,1,YES,0.606,,,2026-01-15 13:30:29.951203,,
2026-01-15 13:30:37.502194,2026-01-15 13:30:35.847535,2026-01-15 13:30:36.502285,VH,"1,3",YES,0.608,0.730,,2026-01-15 13:30:36.455399,2026-01-15 13:30:36.577044,
2026-01-15 13:30:46.569265,2026-01-15 13:30:44.910369,2026-01-15 13:30:45.566051,H,3,YES,0.752,,,2026-01-15 13:30:45.661915,,
2026-01-15 13:30:54.601928,2026-01-15 13:30:52.790877,2026-01-15 13:30:53.601760,VAH,"1,3",NO,0.807,0.898,,2026-01-15 13:30:53.598158,2026-01-15 13:30:53.688771,
2026-01-15 13:31:01.566066,2026-01-15 13:30:59.759066,2026-01-15 13:31:00.565265,AH,"2,3",YES,1.067,1.156,,2026-01-15 13:31:00.826357,2026-01-15 13:31:00.915383,
2026-01-15 13:31:08.867702,2026-01-15 13:31:07.205254,2026-01-15 13:31:07.862226,H,3,YES,0.623,,,2026-01-15 13:31:07.828375,,
2026-01-15 13:31:17.767136,2026-01-15 13:31:16.105089,2026-01-15 13:31:16.766482,VA,"1,2",YES,0.773,0.900,,2026-01-15 13:31:16.878371,2026-01-15 13:31:17.004607,
