TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,SelectedCues,FeltCorrectly,ReactionTime_seconds
2026-01-15 14:57:49.816208,2026-01-15 14:57:42.683343,2026-01-15 14:57:43.292019,H,H,YES,0.399
2026-01-15 14:58:04.959953,2026-01-15 14:57:56.880320,2026-01-15 14:57:57.646512,AH,AH,YES,0.662
2026-01-15 14:58:18.229602,2026-01-15 14:58:14.199609,2026-01-15 14:58:14.717349,V,V,YES,0.451
2026-01-15 14:58:27.214868,2026-01-15 14:58:23.800339,2026-01-15 14:58:24.569446,VAH,AHV,YES,0.445
2026-01-15 14:58:40.483033,2026-01-15 14:58:35.838446,2026-01-15 14:58:36.446122,VH,HV,YES,0.297
2026-01-15 14:58:47.669983,2026-01-15 14:58:44.714725,2026-01-15 14:58:45.233749,V,V,YES,0.469
2026-01-15 14:58:56.229478,2026-01-15 14:58:52.689701,2026-01-15 14:58:53.300117,H,H,YES,0.454
2026-01-15 14:59:07.548114,2026-01-15 14:59:04.434175,2026-01-15 14:59:05.193837,VAH,AHV,YES,0.429
2026-01-15 14:59:20.956620,2026-01-15 14:59:17.025776,2026-01-15 14:59:17.803649,AH,AH,YES,0.481
2026-01-15 14:59:33.339154,2026-01-15 14:59:29.556076,2026-01-15 14:59:30.327292,VAH,AHV,YES,0.437
2026-01-15 14:59:44.927090,2026-01-15 14:59:41.622679,2026-01-15 14:59:42.233275,VH,HV,YES,0.293
2026-01-15 14:59:55.777954,2026-01-15 14:59:51.970098,2026-01-15 14:59:52.635076,VA,AV,YES,0.420
2026-01-15 15:00:05.386344,2026-01-15 15:00:02.216628,2026-01-15 15:00:02.886834,VA,AV,YES,0.432
2026-01-15 15:00:15.067276,2026-01-15 15:00:11.789870,2026-01-15 15:00:12.456382,A,A,YES,0.727
2026-01-15 15:00:28.133065,2026-01-15 15:00:24.073433,2026-01-15 15:00:24.733286,VA,AV,YES,0.342
2026-01-15 15:00:38.886882,2026-01-15 15:00:36.066283,2026-01-15 15:00:36.583284,V,V,YES,0.373
2026-01-15 15:00:48.179286,2026-01-15 15:00:45.179940,2026-01-15 15:00:45.788667,VH,HV,YES,0.335
2026-01-15 15:00:57.879664,2026-01-15 15:00:54.538138,2026-01-15 15:00:55.307723,AH,AH,YES,0.586
2026-01-15 15:01:11.224147,2026-01-15 15:01:07.478100,2026-01-15 15:01:08.234780,VAH,AHV,YES,0.376
2026-01-15 15:01:21.191055,2026-01-15 15:01:18.127604,2026-01-15 15:01:18.888641,VAH,AHV,YES,0.456
2026-01-15 15:01:32.652753,2026-01-15 15:01:29.619767,2026-01-15 15:01:30.287811,VA,AV,YES,0.379
2026-01-15 15:01:43.587465,2026-01-15 15:01:40.261532,2026-01-15 15:01:40.869983,VH,HV,YES,0.314
2026-01-15 15:01:51.446670,2026-01-15 15:01:49.072915,2026-01-15 15:01:49.681788,H,H,YES,0.470
2026-01-15 15:02:02.405998,2026-01-15 15:01:58.719261,2026-01-15 15:01:59.486352,AH,AH,YES,0.623
2026-01-15 15:02:11.617122,2026-01-15 15:02:09.061590,2026-01-15 15:02:09.828781,AH,AH,YES,0.514
2026-01-15 15:02:22.378833,2026-01-15 15:02:20.074987,2026-01-15 15:02:20.681493,H,H,YES,0.353
2026-01-15 15:02:30.530982,2026-01-15 15:02:28.109281,2026-01-15 15:02:28.879302,AH,AH,YES,0.562
2026-01-15 15:02:42.886684,2026-01-15 15:02:39.601470,2026-01-15 15:02:40.263583,A,A,YES,0.676
2026-01-15 15:02:52.543868,2026-01-15 15:02:50.006528,2026-01-15 15:02:50.614844,VH,HV,YES,0.301
2026-01-15 15:03:03.983828,2026-01-15 15:03:00.416259,2026-01-15 15:03:01.082930,A,A,YES,0.661
2026-01-15 15:03:15.034938,2026-01-15 15:03:12.874869,2026-01-15 15:03:13.391791,V,V,YES,0.405
2026-01-15 15:03:23.183777,2026-01-15 15:03:20.917441,2026-01-15 15:03:21.435672,V,V,YES,0.377
2026-01-15 15:03:33.269094,2026-01-15 15:03:30.001181,2026-01-15 15:03:30.607871,H,H,YES,0.334
2026-01-15 15:03:44.370459,2026-01-15 15:03:41.741045,2026-01-15 15:03:42.506136,AH,AH,YES,0.505
2026-01-15 15:04:00.372269,2026-01-15 15:03:49.573264,2026-01-15 15:03:50.226574,VA,AV,YES,0.392
2026-01-15 15:04:12.428244,2026-01-15 15:04:09.209210,2026-01-15 15:04:09.868592,VA,AV,YES,0.425
2026-01-15 15:04:24.622244,2026-01-15 15:04:18.608962,2026-01-15 15:04:19.261043,A,A,YES,0.734
2026-01-15 15:04:35.029697,2026-01-15 15:04:32.556515,2026-01-15 15:04:33.216012,A,A,YES,0.635
2026-01-15 15:04:45.322236,2026-01-15 15:04:42.761227,2026-01-15 15:04:43.370890,H,H,YES,0.376
2026-01-15 15:04:56.995570,2026-01-15 15:04:53.723004,2026-01-15 15:04:54.499895,VAH,AHV,YES,0.395
2026-01-15 15:05:10.123384,2026-01-15 15:05:04.277070,2026-01-15 15:05:05.034976,AH,AH,YES,0.467
2026-01-15 15:05:20.577224,2026-01-15 15:05:17.471089,2026-01-15 15:05:18.137098,VA,AV,YES,0.371
2026-01-15 15:05:30.115736,2026-01-15 15:05:28.016573,2026-01-15 15:05:28.533143,V,V,YES,0.456
2026-01-15 15:05:38.627087,2026-01-15 15:05:36.091837,2026-01-15 15:05:36.754317,A,A,YES,0.665
2026-01-15 15:05:50.497312,2026-01-15 15:05:46.655045,2026-01-15 15:05:47.264383,VH,HV,YES,0.278
2026-01-15 15:05:58.131740,2026-01-15 15:05:56.023269,2026-01-15 15:05:56.542067,V,V,YES,0.529
2026-01-15 15:06:07.553661,2026-01-15 15:06:05.072000,2026-01-15 15:06:05.839682,AH,AH,YES,0.507
2026-01-15 15:06:16.494301,2026-01-15 15:06:14.324340,2026-01-15 15:06:14.933746,H,H,YES,0.358
2026-01-15 15:06:25.455046,2026-01-15 15:06:22.906220,2026-01-15 15:06:23.577157,VA,AV,YES,0.445
2026-01-15 15:06:36.733614,2026-01-15 15:06:33.860836,2026-01-15 15:06:34.518595,VA,AV,YES,0.376
2026-01-15 15:06:44.367668,2026-01-15 15:06:42.361953,2026-01-15 15:06:42.879357,V,V,YES,0.407
